machine_id,line_id,timestamp,shift,avg_temperature,avg_vibration,avg_pressure,avg_cycle_time,avg_energy_consumption,pressure_instability,anomaly_signal,machine_age_years,last_maintenance_days_ago,defect_flag,defect_count,previous_downtime_minutes,cycle_time_drift,pressure_deviation,night_shift_flag,maintenance_recency_score,quality_risk_index,yield_rate
M001,L1,2026-01-01 00:00:00,Night,77.4175,2.73275,98.7125,58.21,170.3175,2.0925000000000002,0.39175,3,17,0,0,0.0,-0.13000000000000256,1.5262500000000045,1,13,4.138875000000001,1.0
M001,L1,2026-01-01 04:00:00,Night,79.7025,2.786,101.50750000000001,57.58,169.57,3.6174999999999997,0.72675,3,17,0,0,0.0,-0.7600000000000051,4.321250000000006,1,13,6.020625000000001,1.0
M001,L1,2026-01-01 08:00:00,Day,76.5725,2.44975,99.9675,55.769999999999996,168.16,2.0775,0.36225,3,17,0,0,0.0,-2.5700000000000074,2.78125,0,13,2.137625000000002,1.0
M001,L1,2026-01-01 12:00:00,Day,74.7525,2.5375,95.815,56.28,168.3025,2.26,0.3835,3,17,1,0,0.0,-2.0600000000000023,1.3712500000000034,0,13,2.5550000000000015,1.0
M001,L1,2026-01-01 16:00:00,Evening,75.4175,2.65075,95.08,56.1275,170.635,2.8099999999999996,0.51675,3,17,0,0,0.0,-2.2125000000000057,2.106250000000003,0,13,3.5095000000000005,1.0
M001,L1,2026-01-01 20:00:00,Evening,76.86749999999999,2.79525,97.0025,55.385,168.78,1.0075,0.27599999999999997,3,17,0,0,0.0,-2.9550000000000054,0.1837500000000034,0,13,3.7788749999999975,1.0
M001,L1,2026-01-02 00:00:00,Night,76.715,2.7035,99.32000000000001,56.027499999999996,170.1275,1.925,0.351,3,17,0,0,0.0,-2.312500000000007,2.1337500000000063,1,13,3.6337500000000023,1.0
M001,L1,2026-01-02 04:00:00,Night,79.89,2.83325,100.4375,56.4775,172.41750000000002,2.5825,0.5705,3,17,0,0,0.0,-1.8625000000000043,3.251249999999999,1,13,5.8522500000000015,1.0
M001,L1,2026-01-02 08:00:00,Day,76.7675,2.71075,98.7125,55.8725,168.555,2.9325,0.49824999999999997,3,17,0,0,0.0,-2.467500000000001,1.5262500000000045,0,13,4.199375,1.0
M001,L1,2026-01-02 12:00:00,Day,74.94,2.80375,96.285,56.9075,170.135,1.605,0.35450000000000004,3,17,0,0,0.0,-1.4325000000000045,0.9012500000000045,0,13,3.825000000000001,1.0
M001,L1,2026-01-02 16:00:00,Evening,75.8625,2.74275,97.3725,57.3575,167.4225,1.7325,0.338,3,17,0,0,0.0,-0.9825000000000017,0.18625000000000114,0,13,3.522750000000001,1.0
M001,L1,2026-01-02 20:00:00,Evening,75.89500000000001,2.5564999999999998,95.005,57.2325,169.745,2.8850000000000002,0.46725,3,17,0,0,0.0,-1.1075000000000017,2.1812500000000057,0,13,2.9814999999999996,1.0
M001,L1,2026-01-03 00:00:00,Night,77.655,2.799,97.98,55.3225,169.4325,1.59,0.3855,3,17,0,0,0.0,-3.0175000000000054,0.7937500000000028,1,13,4.3682500000000015,1.0
M001,L1,2026-01-03 04:00:00,Night,77.1925,2.8285,99.00999999999999,57.155,170.60500000000002,1.1199999999999999,0.319,3,17,0,1,0.0,-1.1850000000000023,1.8237499999999898,1,13,4.148375,0.99
M001,L1,2026-01-03 08:00:00,Day,78.43,2.64675,98.745,57.3425,169.425,1.1,0.245,3,17,0,0,0.0,-0.9975000000000023,1.5587500000000034,0,13,3.4810000000000034,1.0
M001,L1,2026-01-03 12:00:00,Day,75.08500000000001,2.6945,96.85249999999999,57.4075,169.7525,1.0375,0.3065,3,17,0,0,0.0,-0.9325000000000045,0.3337500000000091,0,13,2.8857500000000016,1.0
M001,L1,2026-01-03 16:00:00,Evening,74.6675,2.6647499999999997,97.0275,55.8625,167.63,0.9275,0.23575,3,17,0,0,0.0,-2.4775000000000063,0.15874999999999773,0,13,2.6522499999999996,1.0
M001,L1,2026-01-03 20:00:00,Evening,75.4525,2.7192499999999997,95.17750000000001,57.5275,170.345,2.7125000000000004,0.51225,3,17,0,1,0.0,-0.8125,2.008749999999992,0,13,3.8717499999999996,0.99
M001,L1,2026-01-04 00:00:00,Night,77.59,2.8355,97.76,56.14,170.175,1.33,0.41525,3,17,0,1,0.0,-2.200000000000003,0.573750000000004,1,13,4.434500000000003,0.99
M001,L1,2026-01-04 04:00:00,Night,79.7475,2.773,100.0125,56.8075,169.175,2.1224999999999996,0.5255000000000001,3,17,0,0,0.0,-1.532500000000006,2.8262500000000017,1,13,5.2108750000000015,1.0
M001,L1,2026-01-04 08:00:00,Day,76.41,2.7367500000000002,97.2675,56.5925,169.61,2.2525,0.3885,3,17,0,0,0.0,-1.7475000000000023,0.08124999999999716,0,13,3.890250000000001,1.0
M001,L1,2026-01-04 12:00:00,Day,74.61,2.6302499999999998,97.3,55.655,169.8725,2.25,0.417,3,17,0,0,0.0,-2.6850000000000023,0.11374999999999602,0,13,3.1064999999999996,1.0
M001,L1,2026-01-04 16:00:00,Evening,74.435,2.7695,94.515,57.51,169.2225,3.375,0.579,3,17,0,1,0.0,-0.8300000000000054,2.6712500000000006,0,13,4.5045,0.99
M001,L1,2026-01-04 20:00:00,Evening,74.83,2.65925,96.0875,57.975,170.7775,2.3925,0.41725,3,17,0,0,0.0,-0.365000000000002,1.0987499999999955,0,13,3.351750000000002,1.0
M001,L1,2026-01-05 00:00:00,Night,78.47999999999999,2.79825,98.8375,56.43,169.2875,2.0375,0.4225,3,17,0,0,0.0,-1.9100000000000037,1.6512500000000045,1,13,4.876249999999997,1.0
M001,L1,2026-01-05 04:00:00,Night,78.5525,2.71825,100.1925,57.6125,171.2425,3.0225,0.5217499999999999,3,17,1,0,0.0,-0.7275000000000063,3.0062499999999943,1,13,4.9141249999999985,1.0
M001,L1,2026-01-05 08:00:00,Day,75.50999999999999,2.59825,99.2575,55.7175,168.39249999999998,1.4825,0.2905,3,17,0,1,0.0,-2.6225000000000023,2.071249999999992,0,13,2.530750000000002,0.99
M001,L1,2026-01-05 12:00:00,Day,75.13,2.7039999999999997,95.9325,56.3725,167.445,1.9575,0.36375,3,17,0,1,0.0,-1.9675000000000011,1.2537499999999966,0,13,3.4027499999999993,0.99
M001,L1,2026-01-05 16:00:00,Evening,73.745,2.568,96.9175,57.8625,169.715,1.2225,0.263,3,17,0,0,0.0,-0.47750000000000625,0.26874999999999716,0,13,2.2192500000000015,1.0
M001,L1,2026-01-05 20:00:00,Evening,76.05250000000001,2.8325,97.9175,57.3,170.5925,1.1525,0.3315,3,17,0,0,0.0,-1.0400000000000063,0.7312500000000028,0,13,3.7896250000000045,1.0
M001,L1,2026-01-06 00:00:00,Night,78.605,2.8817500000000003,98.69749999999999,56.8925,171.525,2.6575,0.5842499999999999,3,17,0,2,0.0,-1.4475000000000051,1.5112499999999898,1,13,5.731000000000004,0.98
